doi,type_code,downloads,citation,datarank_value,prob
10.6084/m9.figshare.4640722,3,117,2,0.9841955670052562,0.003766478342749529
10.6084/m9.figshare.4954478.v1,3,1947,1,0.9831886388666339,0.0018832391713747645
10.6084/m9.figshare.97092,3,43,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.103766,3,21,2,0.9421577857050534,0.003766478342749529
10.6084/m9.figshare.1146256,3,237,1,0.9696102629225052,0.0018832391713747645
10.6084/m9.figshare.3409927.v1,3,6,1,0.9718787976378861,0.0018832391713747645
10.6084/m9.figshare.3438392.v1,3,15,1,0.972918005069177,0.0018832391713747645
10.6084/m9.figshare.5353630.v1,3,54,2,0.9985853651601265,0.003766478342749529
10.6084/m9.figshare.775367,3,68,1,0.9420261796473413,0.0018832391713747645
10.6084/m9.figshare.1265056,3,57,1,0.9647229985062266,0.0018832391713747645
10.6084/m9.figshare.687063,3,29,1,0.9446690482131346,0.0018832391713747645
10.6084/m9.figshare.103745,3,26,2,0.9341263956405018,0.003766478342749529
10.6084/m9.figshare.1085960,3,342,1,0.9534648944938208,0.0018832391713747645
10.6084/m9.figshare.154796,3,88,3,0.9475544971801014,0.005649717514124294
10.6084/m9.figshare.157057,3,24,3,0.9437524721466006,0.005649717514124294
10.6084/m9.figshare.157207,3,212,2,0.943555566305821,0.003766478342749529
10.6084/m9.figshare.4753678,3,7,1,0.9820743381984989,0.0018832391713747645
10.6084/m9.figshare.5147068,3,42,1,0.9945646670126754,0.0018832391713747645
10.6084/m9.figshare.646163,3,23,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.920192,3,39,1,0.9576304741498453,0.0018832391713747645
10.6084/m9.figshare.c.3980448,3,36,1,0.9829271574453964,0.0018832391713747645
10.6084/m9.figshare.1452900,3,18,1,0.9614925296407302,0.0018832391713747645
10.6084/m9.figshare.1512427.v5,3,11876,1,1.0190303920970742,0.0018832391713747645
10.6084/m9.figshare.156850,3,60,2,0.9478083614371621,0.003766478342749529
10.6084/m9.figshare.1180122,3,687,2,0.9953828318656773,0.003766478342749529
10.6084/m9.figshare.3187063.v1,3,132,1,0.9735987145451396,0.0018832391713747645
10.6084/m9.figshare.646162,3,30,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.812579,3,21,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.6326723,3,7,1,1.0191736228419073,0.0018832391713747645
10.6084/m9.figshare.1305770.v22,3,23174,1,0.9976729467623988,0.0018832391713747645
10.6084/m9.figshare.4659151.v1,3,25,2,1.055196976100378,0.003766478342749529
10.6084/m9.figshare.105911,3,25,2,0.9434227371125977,0.003766478342749529
10.6084/m9.figshare.5112991,3,130,1,0.9836791144795264,0.0018832391713747645
10.6084/m9.figshare.6203993,3,4,1,0.9984590663877116,0.0018832391713747645
10.6084/m9.figshare.5234803.v1,3,21,1,0.9847904061308546,0.0018832391713747645
10.6084/m9.figshare.155796,3,44,3,0.9452967554359982,0.005649717514124294
10.6084/m9.figshare.785757,3,13,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.155305,3,22,2,0.9442200157640889,0.003766478342749529
10.6084/m9.figshare.5285401,3,16,1,0.9859279432922121,0.0018832391713747645
10.6084/m9.figshare.880756.v5,3,935,1,0.952662688590092,0.0018832391713747645
10.6084/m9.figshare.103707,3,22,1,0.9436514541298651,0.0018832391713747645
10.6084/m9.figshare.1273869,3,20,1,0.9629777273567964,0.0018832391713747645
10.6084/m9.figshare.6830282,3,10,1,1.0016993493862638,0.0018832391713747645
